,id,home_label,home_lat,home_lon,state
599064,7587752.0,8a4895460d1ffff,27.732,-97.358,Texas
599065,7587758.0,8a4453674217fff,32.153,-87.744,Alabama
599066,7587770.0,8a489aaac48ffff,31.127,-97.525,Texas
599067,7587780.0,8a445282550ffff,30.579,-87.258,Florida
599068,7587789.0,8a26cb9a9447fff,32.706,-96.783,Texas
599069,7587816.0,8a2ab316e217fff,41.292,-81.722,Ohio
599070,7587839.0,8a26d94e5957fff,32.43,-99.744,Texas
599071,7587848.0,8a26cb640ce7fff,31.759,-97.037,Texas
599072,7587849.0,8a263189051ffff,45.45,-98.483,South Dakota
599073,7587850.0,8a44e059a6dffff,30.435,-84.293,Florida
599074,7587866.0,8a44a105b9affff,26.07,-80.171,Florida
599075,7587887.0,8a2ab2d40b37fff,42.511,-82.905,Michigan
599076,7587899.0,8a48b3894c47fff,26.167,-97.828,Texas
599077,7587904.0,8a26ed79582ffff,36.072,-94.251,Arkansas
599078,7587908.0,8a4451ba1047fff,31.318,-89.463,Mississippi
599079,7587911.0,8a2759ad8117fff,42.107,-87.899,Illinois
599080,7587915.0,8a2a106b5af7fff,40.634,-74.379,New Jersey
599081,7587921.0,8a2ab1776297fff,41.194,-80.731,Ohio
599082,7587938.0,8a26ac4a4ce7fff,41.893,-103.679,Nebraska
599083,7587961.0,8a44c189a85ffff,33.41,-84.107,Georgia
599084,7587989.0,8a44dbb3628ffff,35.927,-81.489,North Carolina
599085,7587992.0,8a2aae593767fff,40.017,-78.087,Pennsylvania
599086,7587994.0,8a275916199ffff,42.411,-88.079,Illinois
599087,7587996.0,8a2a9005564ffff,40.04,-83.869,Ohio
599088,7588001.0,8a264d824a57fff,36.402,-86.496,Tennessee
599089,7588017.0,8a2748c73027fff,43.052,-85.524,Michigan
599090,7588030.0,8a2af6a10da7fff,37.136,-75.969,Virginia
599091,7588032.0,8a28d545486ffff,47.695,-122.375,Washington
599092,7588049.0,8a4898c868cffff,30.361,-97.9,Texas
599093,7588065.0,8a44f0563577fff,30.17,-81.595,Florida
