,id,cluster,#move,#stay_move,#unique_loc,radius,area,stay_t,frequency,d_home,center,counts_near_home
1,7586675,3,43,3.909090909090909,14,1.5769210296884582,0.17476723691151538,230.18095959595956,11,1.517138526566694,"(33.14520125298238, -85.38094915847135)",3
2,7586675,2,40,4.444444444444445,10,0.20029533752877574,0.019445524741998878,10.420956790123457,9,5.266443842344587,"(33.144150824927316, -85.30862025138333)",0
3,7586675,6,23,3.8333333333333335,11,2.665728679273565,0.19292686793490318,14.789305555555556,6,3.442809975428622,"(33.15967478303008, -85.33074736391924)",0
4,7586675,4,93,10.333333333333334,29,6.122092456260077,0.30905292279061075,52.397592592592595,9,4.6826721138122025,"(33.11443849601732, -85.33462392196442)",0
5,7586675,1,37,4.625,13,7.722425844353325,0.5376573957726296,15.44732638888889,8,22.265366658656934,"(33.308456823360075, -85.50819951267296)",2
6,7586675,0,39,4.333333333333333,13,0.4620228684153229,0.0018778547728232238,16.31237654320988,9,16.95158371005116,"(33.03932243523002, -85.23738755318858)",0
0,7586678,0,82,2.0,9,0.8169750154397414,0.027852243949629586,16.083651761517615,41,0.9010449915213194,"(35.43147806220629, -80.58571173987659)",68
1,7586678,3,42,1.68,4,0.39812777100010915,0,16.57431111111111,25,0.0145208739730317,"(35.42699889150136, -80.59416025513167)",41
2,7586678,1,79,1.6808510638297873,6,8.100662448111638,0.3359712334215924,8.878197399527185,47,8.10442116890106,"(35.3832935612278, -80.52244078537487)",75
0,7586679,0,65,2.7083333333333335,9,0.02954430393454371,0.0019711404361040003,6.424594907407408,24,0.047350636678941,"(32.32942538618233, -86.31702311882809)",65
1,7586679,1,75,3.125,16,0.9373661876187372,0.16736602892030064,6.290532407407408,24,0.4490639038663959,"(32.332978677870194, -86.31618020740237)",71
2,7586679,3,36,4.5,16,1.9779969290361046,0.1931836159193327,50.886631944444446,8,3.603427715483445,"(32.31145650495309, -86.34924221945073)",5
3,7586679,4,26,26.0,7,2.6299887764226804,0.001539201050612725,302.2002777777778,1,17.835981175724957,"(32.420394307422285, -86.47307886540197)",0
4,7586679,2,43,43.0,9,6.012207977292871,0.3506551071077795,980.3683333333333,1,12.424297479079625,"(32.40151004281048, -86.41764610295785)",0
